qb_id,qb_name,team,season,epa_per_play,attempts,completion_rate,sack_rate
00-0030465,K.Barner,ATL,2019,-0.14810775,1,1.0,0.0
00-0030506,T.Kelce,KC,2020,0.22654657,2,0.5,0.0
00-0030506,T.Kelce,KC,2021,0.70204556,1,1.0,0.0
00-0030520,M.Glennon,LV,2019,0.10464356,10,0.6,0.0
00-0030520,M.Glennon,JAX,2020,-0.1492334,189,0.5873015873015873,0.045454545454545456
00-0030520,M.Glennon,NYG,2021,-0.44105962,174,0.5172413793103449,0.04918032786885246
00-0030533,M.Barkley,BUF,2019,-0.184264,52,0.5192307692307693,0.037037037037037035
00-0030533,M.Barkley,BUF,2020,0.006495476,22,0.5,0.043478260869565216
00-0030564,D.Hopkins,HOU,2019,-2.7892413,2,0.5,0.0
00-0030564,D.Hopkins,TEN,2023,-0.20025218,1,0.0,0.0
00-0030565,G.Smith,SEA,2020,0.106465645,6,0.6666666666666666,0.14285714285714285
00-0030565,G.Smith,SEA,2021,-0.00433701,107,0.6074766355140186,0.10833333333333334
00-0030565,G.Smith,SEA,2022,0.045040302,658,0.6443768996960486,0.06930693069306931
00-0030565,G.Smith,SEA,2023,0.07723233,528,0.6117424242424242,0.055456171735241505
00-0030565,G.Smith,SEA,2024,0.032246504,629,0.6470588235294118,0.07363770250368189
00-0030565,G.Smith,LV,2025,-0.12966287,503,0.6003976143141153,0.0985663082437276
00-0030578,C.Patterson,ATL,2021,-0.59963995,1,0.0,0.0
00-0030669,A.Wilson,MIA,2019,-0.272696,3,0.3333333333333333,0.25
00-0030669,A.Wilson,MIA,2021,-1.0267665,2,0.0,0.3333333333333333
00-0031051,J.Brown,BUF,2019,2.7713246,2,1.0,0.0
00-0031062,J.White,NE,2019,2.000194,1,1.0,0.0
00-0031076,D.Fales,NYJ,2019,-0.84204245,1,0.0,0.5
00-0031136,C.Boswell,PIT,2021,-3.0074847,1,0.0,0.0
00-0031235,O.Beckham,CLE,2019,0.45146245,2,0.5,0.0
00-0031235,O.Beckham,CLE,2020,0.5891707,1,1.0,0.0
00-0031235,O.Beckham,LA,2021,2.278347,1,1.0,0.0
00-0031237,T.Bridgewater,NO,2019,0.09827048,208,0.6394230769230769,0.05454545454545454
00-0031237,T.Bridgewater,CAR,2020,0.09535411,523,0.6500956022944551,0.05595667870036101
00-0031237,T.Bridgewater,DEN,2021,0.119416356,460,0.6195652173913043,0.06313645621181263
00-0031237,T.Bridgewater,MIA,2022,-0.02780895,87,0.5632183908045977,0.07446808510638298
00-0031237,T.Bridgewater,DET,2024,-0.1319518,1,1.0,0.0
00-0031237,T.Bridgewater,TB,2025,-0.6954074,17,0.47058823529411764,0.10526315789473684
00-0031260,L.Thomas,WAS,2020,1.8633734,1,1.0,0.0
00-0031280,D.Carr,LV,2019,0.15151773,541,0.66728280961183,0.05087719298245614
00-0031280,D.Carr,LV,2020,0.09342552,540,0.6444444444444445,0.045936395759717315
00-0031280,D.Carr,LV,2021,0.040366653,722,0.6329639889196675,0.05620915032679739
00-0031280,D.Carr,LV,2022,0.03059776,532,0.5733082706766918,0.04830053667262969
00-0031280,D.Carr,NO,2023,0.05105284,581,0.6454388984509466,0.05065359477124183
00-0031280,D.Carr,NO,2024,0.13748172,290,0.6517241379310345,0.026845637583892617
00-0031288,A.McCarron,HOU,2019,-0.16274568,42,0.5,0.10638297872340426
00-0031288,A.McCarron,HOU,2020,-0.6245204,2,0.5,0.3333333333333333
00-0031288,A.McCarron,CIN,2023,-0.87517864,6,0.6666666666666666,0.14285714285714285
00-0031325,S.Watkins,KC,2019,-0.8703417,1,0.0,0.5
00-0031325,S.Watkins,KC,2020,-1.9586511,1,0.0,0.0
