team,season,qb_name,avg_separation,time_to_throw,pass_block_win_rate
CAR,2024,Bryce Young,2.649397590361446,2.79,0.52
NE,2024,Drake Maye,3.1810289389067523,2.74,0.51
NO,2024,Derek Carr,3.4,2.76,0.54
CLE,2024,Jameis Winston,3.097560975609756,2.79,0.65
TEN,2024,Will Levis,2.9596091205211725,2.68,0.56
MIN,2024,Daniel Jones,3.068571428571429,2.71,0.7
JAX,2024,Trevor Lawrence,3.1126436781609197,2.69,0.59
LV,2024,Gardner Minshew,3.0595041322314045,2.71,0.59
DAL,2024,Dak Prescott,2.9160756501182035,2.79,0.57
DAL,2024,Cooper Rush,2.9160756501182035,2.55,0.57
IND,2024,Anthony Richardson,2.8435672514619883,2.95,0.56
IND,2024,Joe Flacco,2.8435672514619883,2.69,0.56
JAX,2024,Mac Jones,3.1126436781609197,2.71,0.59
LV,2024,Aidan O'Connell,3.0595041322314045,2.92,0.59
TEN,2024,Mason Rudolph,2.9596091205211725,2.8,0.56
NO,2024,Spencer Rattler,3.4,2.82,0.54
CLE,2024,Deshaun Watson,3.097560975609756,2.94,0.65
PIT,2024,Justin Fields,2.8615062761506276,3.04,0.62
NYG,2024,Drew Lock,2.87244094488189,2.84,0.56
CAR,2024,Andy Dalton,2.649397590361446,2.55,0.52
NE,2024,Jacoby Brissett,3.1810289389067523,2.87,0.51
LA,2025,Matthew Stafford,2.7625,2.8,0.69
DET,2025,Jared Goff,3.1238390092879262,2.7,0.56
DAL,2025,Dak Prescott,2.7847087378640776,2.82,0.63
NE,2025,Drake Maye,2.9702312138728324,2.97,0.64
SEA,2025,Sam Darnold,3.1435114503816792,2.86,0.65
JAX,2025,Trevor Lawrence,2.8758104738154615,2.87,0.68
CHI,2025,Caleb Williams,3.5586046511627907,3.2,0.74
DEN,2025,Bo Nix,3.2027227722772276,2.86,0.68
LAC,2025,Justin Herbert,2.8593175853018375,2.9,0.54
TB,2025,Baker Mayfield,2.7911764705882356,2.85,0.64
BUF,2025,Josh Allen,3.4492063492063494,2.89,0.71
KC,2025,Patrick Mahomes,3.376190476190476,2.79,0.71
GB,2025,Jordan Love,2.186559139784946,2.89,0.69
ARI,2025,Jacoby Brissett,2.7214673913043477,2.94,0.63
PIT,2025,Aaron Rodgers,3.0129770992366414,2.59,0.71
PHI,2025,Jalen Hurts,2.725949367088608,2.98,0.64
TEN,2025,Cameron Ward,3.3160458452722064,3.0,0.64
IND,2025,Daniel Jones,2.8268354430379743,2.7,0.58
HOU,2025,C.J. Stroud,2.886848635235732,2.82,0.56
LV,2025,Geno Smith,3.274911660777385,2.8,0.61
CAR,2025,Bryce Young,2.6655913978494628,2.83,0.59
MIA,2025,Tua Tagovailoa,3.0939393939393938,2.65,0.59
BAL,2025,Lamar Jackson,3.3393617021276594,3.01,0.69
CIN,2025,Joe Flacco,2.678592375366569,2.73,0.58
NO,2025,Tyler Shough,3.1767441860465113,2.68,0.56
NYG,2025,Jaxson Dart,3.1339350180505416,2.82,0.65
SF,2025,Brock Purdy,2.8540192926045016,3.17,0.67
SF,2025,Mac Jones,2.8540192926045016,2.71,0.67
ATL,2025,Michael Penix,3.12317880794702,2.79,0.64
CIN,2025,Joe Burrow,2.678592375366569,2.8,0.58
ATL,2025,Kirk Cousins,3.12317880794702,2.78,0.64
WAS,2025,Marcus Mariota,2.964935064935065,2.85,0.63
MIN,2025,J.J. McCarthy,3.1218289085545723,3.02,0.59
NO,2025,Spencer Rattler,3.1767441860465113,2.67,0.56
CLE,2025,Shedeur Sanders,2.700766283524904,3.24,0.63
WAS,2025,Jayden Daniels,2.964935064935065,2.79,0.63
NYJ,2025,Justin Fields,3.1727642276422765,2.93,0.58
MIN,2025,Carson Wentz,3.1218289085545723,2.71,0.59
ARI,2025,Kyler Murray,2.7214673913043477,2.68,0.63
CLE,2025,Dillon Gabriel,2.700766283524904,2.73,0.63
HOU,2025,Davis Mills,2.886848635235732,2.56,0.56
NYJ,2025,Brady Cook,3.1727642276422765,2.57,0.58
